epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7069.52,1.14881,1.63154,1.37576,0.6815,0.61065,0.6505,0.42392,1.08046,1.13597,1.37746,0.000301869,0.000301869,0.000301869
2,13068.2,0.98788,1.03678,1.26315,0.53167,0.61346,0.57894,0.39637,1.12498,1.19367,1.39518,0.000485105,0.000485105,0.000485105
3,19277.8,0.93479,0.92084,1.22755,0.65013,0.55476,0.61346,0.43528,1.04276,1.00173,1.30664,0.000548353,0.000548353,0.000548353
4,25305.8,0.85617,0.81709,1.17293,0.61484,0.78761,0.71253,0.51488,0.93604,0.80953,1.24361,0.000369054,0.000369054,0.000369054
5,31011.9,0.79342,0.70894,1.13796,0.63639,0.7896,0.747,0.54778,0.90355,0.71621,1.1936,0.000189072,0.000189072,0.000189072
